Number,Genus,Scientific Name,Common Name,Family,Type,Form,iTree Code,Carbon Category,EcoSystem,Te Score
348,U,Ulmus parvifolia,Chinese Elm,Ulmaceae,EXOTIC,Deciduous,ULPA,Exotic Hardwoods,Cimate Unsuited,4
349,U,Ulmus parvifolia 'Todd',Chinese Elm,Ulmaceae,EXOTIC,Deciduous,ULPA,Exotic Hardwoods,-,0
350,U,Ulmus procera,English Elm,Ulmaceae,EXOTIC,Deciduous,ULPR,Exotic Hardwoods,Cimate Unsuited,4
351,U,Unident / deciduous / Exotic,Unident / deciduous / Exotic,N/A,EXOTIC,Deciduous,-,-,-,0
352,U,Unident / deciduous / Native,Unident / deciduous / Native,N/A,NATIVE,Deciduous,-,-,-,0
353,U,Unident / evergreen / Exotic,Unident / evergreen / Exotic,N/A,EXOTIC,Evergreen,-,-,-,0
354,U,Unident / evergreen / Native,Unident / evergreen / Native,N/A,NATIVE,Evergreen,-,-,-,0
355,U,Unident / Palm / Exotic,Unident / Palm / Exotic,N/A,EXOTIC,Evergreen,-,-,-,0
356,U,Unident / Palm / Native,Unident / Palm / Native,N/A,NATIVE,Evergreen,-,-,-,0
357,U,Unident / Shrub / Exotic,Unident / Shrub / Exotic,N/A,EXOTIC,Evergreen,-,-,-,0
358,U,Unident / Shrub / Native,Unident / Shrub / Native,N/A,NATIVE,Evergreen,-,-,-,0
359,V,V,N/A,0,0,0,N/A,-,-,0
360,V,Viburnum odoratissimum,Sweet Viburnum,Adoxaceae,EXOTIC,Evergreen,VIOD,Exotic Hardwoods,-,0
361,W,W,N/A,0,0,0,N/A,-,-,0
362,W,Washingtonia filifera,California Fan Palm,Arecaceae,EXOTIC,Evergreen,WAFI,Palms,Cimate Unsuited,4
363,W,Washingtonia robusta,Mexican Fan Palm,Arecaceae,EXOTIC,Evergreen,WARO,Palms,Climate Suited,6
364,W,Waterhousia floribunda,Weeping Lily Pilly,Myrtaceae,NATIVE,Evergreen,WAFL,Native Hardwoods,Climate Suited,6
365,W,Waterhousia floribunda 'Green Avenue',Weeping Lily Pilly,Myrtaceae,NATIVE,Evergreen,WAFL,Native Hardwoods,-,0
366,Z,Z,N/A,0,0,0,N/A,-,-,0
367,Z,Zelkova serrata,Keyaki,Ulmaceae,EXOTIC,Deciduous,ZESE,Exotic Hardwoods,Cimate Unsuited,4
368,L,Leptospermum sp.,Leptospermum sp.,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
369,C,Cotoneaster glaucophyllus,Cotoneaster glaucophyllus,Rosaceae,EXOTIC,Evergreen,-,Exotic Hardwoods,Weed,0
370,C,Corymbia sp.,Corymbia sp.,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
371,C,Carica papaya,Carica papaya,Caricaceae,EXOTIC,Evergreen,CAPA3,Exotic Hardwoods,-,0
372,E,Ekebergia capensis,Ekebergia capensis,Meliaceae,EXOTIC,Evergreen,-,Exotic Hardwoods,-,0
373,D,Diospyros sp.,Diospyros sp.,Ebenaceae,EXOTIC,Evergreen,-,Exotic Hardwoods,-,0
