MTMZCode,Asset_ID,NF_ID,Named_Faci,Address,Ownership,Parent_Nam,WardName,SUBURB_NAM,Parenttype,SimpleCode,x,y,Tree_zone,_id
HumeHi-6044-Ab,RDS047101,NFI006044,Hume Highway,Hume Highway Lansdowne,RMS,Hume Highway,BASS HILL,LANSDOWNE,RDS,A,150.9681842,-33.8896001,51,b1844594-ed7f-498b-b1f3-eb15df7291a9
ClydSt-1893-Bb,RDS501110,NFI001893,Clyde Street,Clyde Street Croydon Park,CBC,Clyde Street,CANTERBURY,CROYDON PARK,RDS,B,151.1058209,-33.89724896,134,b937379f-5fdd-403e-a6a7-a648bffb16e5
HighAv-5082-Bb,RDS044510,NFI005082,Highclere Avenue,Highclere Avenue Punchbowl,CBC,Highclere Avenue,BANKSTOWN,PUNCHBOWL,RDS,B,151.0555739,-33.92361136,81,cc3c2c3d-2b02-42af-97e8-a2a31da7770c
CaliLa-5420-Ab,RDS119210,NFI005420,Calidore Lane,Calidore Lane Bankstown,CBC,Calidore Lane,BANKSTOWN,BANKSTOWN,RDS,A,151.0261374,-33.93365876,36,eff423a3-4186-429b-962d-2092fd1e8b5c
BarbLa-1728-Ab,RDS134310,NFI001728,Barber Lane,Barber Lane Panania,CBC,Barber Lane,REVESBY,PANANIA,RDS,A,150.9992111,-33.95344299,2,038e8c42-0de7-4641-b292-a3f4448529a9
AndeAv-2692-Ab,RDS002920,NFI002692,Anderson Avenue,Anderson Avenue Panania,CBC,Anderson Avenue,REVESBY,PANANIA,RDS,A,150.9985322,-33.95365376,2,0707a08a-d713-45df-86a1-5b78549f4e62
GeorCr-6065-Ab,RDS037610,NFI006065,Georges Crescent,Georges Crescent Georges Hall,CBC,Georges Crescent,BASS HILL,GEORGES HALL,RDS,A,150.9824303,-33.91337443,49,3bbd9338-8cd3-4fcb-bf66-0f6a7192a150
MarsLa-1730-Bb,RDS121910,NFI001730,Marshall Lane,Marshall Lane Panania,CBC,Marshall Lane,REVESBY,PANANIA,RDS,B,150.9981725,-33.95338202,2,3daaa4cc-54b6-43f5-aa89-9c209d5fa52e
ArabRo-2463-Bb,RDS003820,NFI002463,Arab Road,Arab Road Padstow,CBC,Arab Road,REVESBY,PADSTOW,RDS,B,151.0288395,-33.95003498,21,3fbe2a2b-cac8-45ca-9ad9-b8ac537865b6
GeorCr-6064-Ab,RDS037620,NFI006064,Georges Crescent,Georges Crescent Georges Hall,CBC,Georges Crescent,BASS HILL,GEORGES HALL,RDS,A,150.9821173,-33.91188227,49,50980bb6-b797-4832-8e55-e40152f3bccc
HaigAv-2030-Ab,RDS041720,NFI002030,Haig Avenue,Haig Avenue Georges Hall,CBC,Haig Avenue,BASS HILL,GEORGES HALL,RDS,A,150.9810471,-33.91331688,49,725616ee-1737-44b8-95cc-620e08b428a3
CahoRo-5207-Bb,RDS016310,NFI005207,Cahors Road,Cahors Road Padstow,CBC,Cahors Road,REVESBY,PADSTOW,RDS,B,151.0316258,-33.95096784,21,7ecc0860-b3bb-46bd-b4e1-72fd6aa4fb4c
DoylRo-2991-Ab,RDS029160,NFI002991,Doyle Road,Doyle Road Revesby,CBC,Doyle Road,REVESBY,REVESBY,RDS,A,151.0195161,-33.94599887,21,929250d5-4ddc-4af9-ae5f-02dffc8080b7
MemoDr-5973-Bb,RDS150110,NFI005973,Memorial Drive,Memorial Drive Padstow,CBC,Memorial Drive,REVESBY,PADSTOW,RDS,B,151.0317631,-33.9516234,21,a905db4e-5547-432c-b28b-f1e400b21e52
ArabRo-2463-Ab,RDS003820,NFI002463,Arab Road,Arab Road Padstow,CBC,Arab Road,REVESBY,PADSTOW,RDS,A,151.0287956,-33.94994849,21,b351bc1d-3ef0-47eb-a28c-83d22a2b1595
BarbLa-1728-Bb,RDS134310,NFI001728,Barber Lane,Barber Lane Panania,CBC,Barber Lane,REVESBY,PANANIA,RDS,B,150.9991311,-33.9536814,2,c83468ef-9f19-47c2-88a8-d425de9a6c47
MarcAv-5538-Ab,RDS062025,NFI005538,Marco Avenue,Marco Avenue Panania,CBC,Marco Avenue,REVESBY,PANANIA,RDS,A,150.9988712,-33.95315061,2,d92cfe1d-322c-4320-a468-ed309b28fdfc
AndeAv-2692-Bb,RDS002920,NFI002692,Anderson Avenue,Anderson Avenue Panania,CBC,Anderson Avenue,REVESBY,PANANIA,RDS,B,150.9987012,-33.95363984,2,da8cc582-9fde-4ec7-acce-17052fbb545a
CahoRo-5211-Bb,RDS016320,NFI005211,Cahors Road,Cahors Road Padstow,CBC,Cahors Road,REVESBY,PADSTOW,RDS,B,151.0300226,-33.94959095,21,dd067f21-728b-4d77-87f2-1d002846b97e
MarsLa-1730-Ab,RDS121910,NFI001730,Marshall Lane,Marshall Lane Panania,CBC,Marshall Lane,REVESBY,PANANIA,RDS,A,150.9981633,-33.95324987,2,e75097f9-7eaa-4567-ba29-47a3cc2cb975
HaigAv-2030-Bb,RDS041720,NFI002030,Haig Avenue,Haig Avenue Georges Hall,CBC,Haig Avenue,BASS HILL,GEORGES HALL,RDS,B,150.9810732,-33.91321829,49,eb14140e-eb9b-4071-a157-6a23aab69fd9
AndeLa-1440-Ab,RDS135720,NFI001440,Anderson Lane,Anderson Lane Sefton,CBC,Anderson Lane,BASS HILL,SEFTON,RDS,A,151.0119136,-33.886341,67,06d2c2eb-69bb-4433-b4ed-ac64a3853481
ShawLa-1421-Ab,RDS127810,NFI001421,Shaw Lane,Shaw Lane Sefton,CBC,Shaw Lane,BASS HILL,SEFTON,RDS,A,151.0107061,-33.88588134,67,0890b58c-f28b-4ef6-9f8c-326d22dc0983
