objectid,mb_code_2021,change_flag_2021,sa2_name_2021,Suburb_Name
4197,10046860000,0,Padstow,Padstow
4198,10046880000,0,Padstow,Padstow
4199,10046890000,0,Padstow,Padstow
4200,10046900000,0,Panania (South) - Picnic Point,Panania
4201,10046910000,0,Panania (South) - Picnic Point,Panania
4202,10046940000,0,Revesby,Revesby
4203,10046970000,0,Revesby,Revesby
4204,10047000000,0,Revesby,Revesby
4205,10047010000,0,Revesby,Revesby
4206,10047030000,0,Padstow,Padstow
4207,10047041000,0,Panania (North) - Milperra,Panania
4208,10047042000,0,Panania (North) - Milperra,Panania
4209,10047043000,0,Panania (North) - Milperra,Panania
4210,10047060000,0,Panania (South) - Picnic Point,East Hills
4211,10047070000,0,Panania (South) - Picnic Point,Panania
4212,10047080000,0,Panania (South) - Picnic Point,Picnic Point
4213,10047090000,0,Revesby,Revesby
4214,10047100000,0,Revesby,Revesby
4215,10047110000,0,Revesby,Revesby
4216,10047120000,0,Revesby,Revesby
4217,10047140000,0,Padstow,Padstow Heights
4218,10047150000,0,Padstow,Padstow Heights
4219,10047160000,0,Padstow,Padstow
4220,10047170000,0,Padstow,Padstow
4221,10047180000,0,Panania (South) - Picnic Point,Panania
4222,10047190000,0,Revesby,Revesby
4223,10047201000,0,Revesby,Revesby
4224,10047205000,0,Revesby,Revesby
4225,10047206000,0,Revesby,Revesby
4226,10047207000,0,Revesby,Revesby
4227,10047210000,0,Panania (South) - Picnic Point,East Hills
4228,10047220000,0,Panania (South) - Picnic Point,East Hills
4229,10047230000,0,Panania (South) - Picnic Point,Revesby Heights
4230,10047260000,0,Panania (South) - Picnic Point,Panania
4231,10047281000,0,Panania (South) - Picnic Point,Panania
4232,10047282000,0,Panania (South) - Picnic Point,Panania
4233,10047290000,0,Padstow,Padstow Heights
4234,10047300000,0,Padstow,Padstow Heights
4235,10047320000,0,Padstow,Padstow
4236,10047330000,0,Padstow,Padstow
4237,10047341000,0,Padstow,Padstow
4238,10047342000,0,Padstow,Padstow
4239,10047343000,0,Padstow,Padstow
4240,10047351000,0,Padstow,Padstow
4241,10047352000,0,Padstow,Padstow
4242,10047360000,0,Padstow,Padstow
4243,10047380000,0,Padstow,Padstow
4244,10047400000,0,Revesby,Revesby Heights
4245,10047410000,0,Padstow,Padstow
4246,10047420000,0,Padstow,Padstow
4247,10047430000,0,Padstow,Padstow
4248,10047440000,0,Revesby,Revesby
4249,10047450000,0,Revesby,Revesby
4250,10047460000,0,Revesby,Revesby
4251,10047470000,0,Revesby,Revesby
4252,10047510000,0,Revesby,Revesby
4253,10047520000,0,Revesby,Revesby
4254,10047531000,0,Revesby,Revesby
4255,10047532000,0,Revesby,Revesby
4256,10047540000,0,Revesby,Revesby
4257,10047550000,0,Revesby,Revesby
4258,10047560000,0,Revesby,Revesby
4259,10047570000,0,Revesby,Revesby
4260,10047580000,0,Revesby,Revesby
4261,10047590000,0,Revesby,Revesby
4262,10047600000,0,Revesby,Revesby
4263,10047610000,0,Revesby,Revesby
4264,10047620000,0,Revesby,Revesby
4265,10047630000,0,Revesby,Revesby
4266,10047640000,0,Revesby,Revesby
4267,10047650000,0,Revesby,Revesby
4268,10047660000,0,Revesby,Revesby
4269,10047670000,0,Revesby,Revesby
4270,10047681000,0,Revesby,Revesby
4271,10047682000,0,Revesby,Revesby
4272,10047690000,0,Revesby,Revesby
4273,10047700000,0,Revesby,Revesby
4274,10047710000,0,Revesby,Revesby
4275,10047720000,0,Padstow,Padstow
4276,10047730000,0,Revesby,Revesby
4277,10047740000,0,Revesby,Revesby
4278,10047750000,0,Revesby,Revesby
4279,10047761000,0,Revesby,Revesby
4280,10047762000,0,Revesby,Revesby
4281,10047770000,0,Revesby,Revesby
4282,10047780000,0,Revesby,Revesby
4283,10047800000,0,Revesby,Revesby
4284,10047810000,0,Revesby,Revesby
4285,10047820000,0,Revesby,Revesby
4286,10047830000,0,Revesby,Revesby
4287,10047840000,0,Revesby,Revesby
4288,10047850000,0,Revesby,Revesby
4289,10047860000,0,Revesby,Revesby
